numéro;catégorie;sous-catégorie;service
1;Découvrir les enjeux du numérique;S’informer;Composantes et facettes de l’identité numérique
2;Découvrir les enjeux du numérique;S’informer;Les conduites à risques et les bons usages du numérique
3;Découvrir les enjeux du numérique;S’informer;Etre parent à l’ère numérique : connaître les usages, jouer son rôle de parent
4;Découvrir les enjeux du numérique;S’informer;Panorama des usages numériques des adolescents
5;Découvrir les enjeux du numérique;S’informer;Découvrir les réseaux sociaux : définition, fonctionnement
6;Découvrir les enjeux du numérique;S’informer;Utiliser les réseaux sociaux pour sa recherche d’emploi
7;Découvrir les enjeux du numérique;S’informer;Panorama d’usages créatifs du numérique
8;Découvrir les enjeux du numérique;S’informer;Panorama de la création artistique numérique
9;Découvrir les enjeux du numérique;S’informer;Fablab : charte, valeurs et panorama des outils numériques
10;Découvrir les enjeux du numérique;S’informer;Panorama des objets connectés (Domotique, Sécurité, Santé)
11;Découvrir les enjeux du numérique;S’informer;Internet : fonctionnement et outils de navigation web
12;Découvrir les enjeux du numérique;S’informer;Internet : fonctionnement des emails
13;Découvrir les enjeux du numérique;S’informer;Internet : fonctionnement des clients webmail
14;Découvrir les enjeux du numérique;S’informer;Découverte des outils de messagerie instantanée (tchat)
15;Découvrir les enjeux du numérique;S’informer;Panorama des outils de webconférence
16;Découvrir les enjeux du numérique;S’informer;Panorama des outils du cloud
17;Découvrir les enjeux du numérique;S’informer;Panorama des outils de travail collaboratif
18;Découvrir les enjeux du numérique;S’informer;Marchés publics : panorama des plateformes
19;Découvrir les enjeux du numérique;S’informer;Panorama des plateformes d’économie collaborative
20;Découvrir les enjeux du numérique;S’informer;Panorama des plateformes de recherche d’emploi
21;Découvrir les enjeux du numérique;S’informer;Fonctionnement des plateformes de musique et de film en ligne
22;Découvrir les enjeux du numérique;S’informer;Découvrir l’univers des jeux vidéos
23;Découvrir les enjeux du numérique;S’informer;Les mécanismes excessifs ou addictifs liés au numérique
24;Découvrir les enjeux du numérique;Comprendre;Principes et fonctionnement du cloud
25;Découvrir les enjeux du numérique;Comprendre;Google Drive et solutions alternatives
26;Découvrir les enjeux du numérique;Comprendre;Les outils de protection de l’enfance
27;Découvrir les enjeux du numérique;Comprendre;Téléphonie : comprendre et comparer des offres mobiles
28;Découvrir les enjeux du numérique;Comprendre;Les paiements en ligne
29;Découvrir les enjeux du numérique;Comprendre;Les biens communs : principes et enjeux
30;Découvrir les enjeux du numérique;Comprendre;Le logiciel libre : principes et enjeux
31;Découvrir les enjeux du numérique;Comprendre;Les licences libres
32;Découvrir les enjeux du numérique;Comprendre;Les monnaies virtuelles
33;Découvrir les enjeux du numérique;Comprendre;Fonctionnement d’une box internet
34;Découvrir les enjeux du numérique;Comprendre;Internet : comprendre une offre internet
35;Découvrir les enjeux du numérique;Comprendre;Internet : comprendre les principes de fonctionnement
36;Découvrir les enjeux du numérique;Comprendre;Internet : comprendre un réseau wifi
37;Découvrir les enjeux du numérique;Comprendre;Big Data / Open Data : comprendre les données
38;Découvrir les enjeux du numérique;Comprendre;Le smartphone : principes de fonctionnement
39;Découvrir les enjeux du numérique;Comprendre;Techniques de vérification de l’information
40;Découvrir les enjeux du numérique;Comprendre;Comprendre les cultures numériques : les jeux vidéos
41;Découvrir les enjeux du numérique;Comprendre;Neutralité du net : de quoi parle-t-on ?
42;Maîtriser le numérique;Utiliser;Créer et paramétrer un compte Google
43;Maîtriser le numérique;Utiliser;Gérer ses favoris de navigation
44;Maîtriser le numérique;Utiliser;Poste informatique Windows
45;Maîtriser le numérique;Utiliser;Poste informatique Mac OS
46;Maîtriser le numérique;Utiliser;Poste informatique Linux
47;Maîtriser le numérique;Utiliser;Internet : paramétrer un réseau wifi
48;Maîtriser le numérique;Utiliser;Internet : envoyer, recevoir, gérer ses emails
49;Maîtriser le numérique;Utiliser;Transférer des fichiers volumineux
50;Maîtriser le numérique;Utiliser;Organiser, explorer et partager des contenus numériques
51;Maîtriser le numérique;Utiliser;Gérer ses données : Sauvegarde en ligne (dans le cloud)
52;Maîtriser le numérique;Utiliser;Gérer ses données : Sauvegardes locales (disques durs externes, clé USB)
53;Maîtriser le numérique;Utiliser;Photo numérique : usages courants (prise de vue, réglages)
54;Maîtriser le numérique;Utiliser;Classer, gérer et partager ses photos
55;Maîtriser le numérique;Utiliser;Images : gérer ses photos en ligne
56;Maîtriser le numérique;Utiliser;Facebook : Découverte
57;Maîtriser le numérique;Utiliser;Facebook : Approfondissement
58;Maîtriser le numérique;Utiliser;Twitter : Découverte
59;Maîtriser le numérique;Utiliser;Twitter : Approfondissement
60;Maîtriser le numérique;Utiliser;Instagram : Découverte
61;Maîtriser le numérique;Utiliser;Instagram : Approfondissement
62;Maîtriser le numérique;Utiliser;Pinterest : Découverte
63;Maîtriser le numérique;Utiliser;Pinterest : Approfondissement
64;Maîtriser le numérique;Utiliser;Snapchat
65;Maîtriser le numérique;Utiliser;Skype
66;Maîtriser le numérique;Utiliser;Traitement de texte : Découverte
67;Maîtriser le numérique;Utiliser;Traitement de texte : Utilisation de base
68;Maîtriser le numérique;Utiliser;Traitement de texte : Utilisation avancée
69;Maîtriser le numérique;Utiliser;Tableur : Découverte
70;Maîtriser le numérique;Utiliser;Tableur : Utilisation de base
