numéro;catégorie;sous-catégorie;service
71;Maîtriser le numérique;Utiliser;Tableur : Utilisation avancée
72;Maîtriser le numérique;Utiliser;Signer numériquement des documents administratifs
73;Maîtriser le numérique;Utiliser;Marchés publics : Signer numériquement ses réponses
74;Maîtriser le numérique;Utiliser;Smartphones et Tablettes sous Androïd
75;Maîtriser le numérique;Utiliser;Smartphone : Environnement IOS
76;Maîtriser le numérique;Utiliser;Smartphone : Les applications clés
77;Maîtriser le numérique;Utiliser;Smartphone : Les principaux gestes pour l’écran tactile
78;Maîtriser le numérique;Utiliser;Smartphone : Les fonctionnalités de base
79;Maîtriser le numérique;Utiliser;Smartphone : Télécharger une application sur les stores
80;Maîtriser le numérique;Utiliser;Smartphone : Réglage et configuration de l’appareil
81;Maîtriser le numérique;Utiliser;Outils numériques pour maîtriser sa consommation énergétique
82;Maîtriser le numérique;Utiliser;Suivre la scolarité de son enfant
83;Maîtriser le numérique;Utiliser;Découvrir des alternatives libres et gratuits aux logiciels
84;Maîtriser le numérique;Faire ses démarches en ligne;Pôle Emploi : faire ses déclarations en ligne
85;Maîtriser le numérique;Faire ses démarches en ligne;Déclarer ses revenus en ligne et découvertes des services proposés
86;Maîtriser le numérique;Faire ses démarches en ligne;Accéder à ses droits sociaux et les gérer en ligne (RSA…)
87;Maîtriser le numérique;Faire ses démarches en ligne;Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne
88;Maîtriser le numérique;Faire ses démarches en ligne;Gérer son abonnement et ses factures d’électricité/gaz en ligne
89;Maîtriser le numérique;Faire ses démarches en ligne;Gérer ses droits d’assuré social en ligne/sur internet
90;Maîtriser le numérique;Faire ses démarches en ligne;Gérer ses droits et allocations (CAF…) en ligne/sur internet
91;Maîtriser le numérique;Faire ses démarches en ligne;Plateforme La Poste : envoyer et recevoir des courriers
92;Maîtriser le numérique;Faire ses démarches en ligne;Plateforme La Poste : utiliser le coffre-fort en ligne
93;Maîtriser le numérique;Faire ses démarches en ligne;Plateforme Ameli.fr : la sécurité sociale en ligne
94;Maîtriser le numérique;Faire ses démarches en ligne;Découvrir les services en ligne de l’enfance de votre commune
95;Maîtriser le numérique;Faire ses démarches en ligne;Plateforme France Connect
96;Augmenter son pouvoir d'agir grâce au numérique;Identité numérique;Connaitre et gérer son identité numérique
97;Augmenter son pouvoir d'agir grâce au numérique;Identité numérique;Nettoyer son identité numérique
98;Augmenter son pouvoir d'agir grâce au numérique;Identité numérique;Effacer ses traces sur le web, protéger ses données personnelles
99;Augmenter son pouvoir d'agir grâce au numérique;Contribuer;Utiliser et contribuer à Wikipedia
100;Augmenter son pouvoir d'agir grâce au numérique;Contribuer;Découvrir et contribuer à OpenStreetMap
101;Augmenter son pouvoir d'agir grâce au numérique;Contribuer;Utiliser des outils de cartographie
102;Augmenter son pouvoir d'agir grâce au numérique;Contribuer;Organiser et partager sa veille
103;Augmenter son pouvoir d'agir grâce au numérique;Contrôler ses données;Les solutions libres pour Les outils bureautiques
104;Augmenter son pouvoir d'agir grâce au numérique;Contrôler ses données;Les outils libres pour la navigation Internet
105;Augmenter son pouvoir d'agir grâce au numérique;Contrôler ses données;Les outils libres pour gérer ses emails
106;Augmenter son pouvoir d'agir grâce au numérique;Contrôler ses données;Les alternatives à Google Drive
107;Augmenter son pouvoir d'agir grâce au numérique;Contrôler ses données;Les alternatives à Facebook
108;Augmenter son pouvoir d'agir grâce au numérique;Contrôler ses données;Les outils disponibles pour sécuriser ses usages numériques
109;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Images : retoucher ses photos
110;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Découverte et utilisation imprimante 3D
111;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Vidéo : découvrir le montage vidéo
112;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;PAO : faire des présentations, des diaporamas
113;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;PAO : publier des présentations / diaporamas en ligne
114;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Découverte et utilisation d’une découpeuse numérique
115;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Savoir pitcher son projet en 5 minutes
116;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Créer un site web avec WordPress
117;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Créer, paramétrer et utiliser une liste de diffusion
118;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Modélisation 3D
119;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces
120;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Services et plateformes de démocratie participative
121;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Découvrir et expérimenter la programmation informatique (code)
122;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Utiliser des cartes, capteurs et outils interactifs
123;Augmenter son pouvoir d'agir grâce au numérique;Explorer de nouvelles possibilités;Découvrir et participer à des MOOCs
124;Augmenter son pouvoir d'agir grâce au numérique;S’insérer professionnellement;Réalisation CV
125;Augmenter son pouvoir d'agir grâce au numérique;S’insérer professionnellement;Diffuser son CV en ligne
126;Augmenter son pouvoir d'agir grâce au numérique;S’insérer professionnellement;Utilisation d’un emplacement de co-working
127;Augmenter son pouvoir d'agir grâce au numérique;S’insérer professionnellement;Organiser sa recherche d’emploi
128;Augmenter son pouvoir d'agir grâce au numérique;S’insérer professionnellement;Découverte et usage de l’emploi Store
129;Augmenter son pouvoir d'agir grâce au numérique;S’insérer professionnellement;Découvrir les métiers du numérique
